k,acc
195,0.68
196,0.68
197,0.68
198,0.68
199,0.68
200,0.68
201,0.68
202,0.68
203,0.68
204,0.68
205,0.68
206,0.68
207,0.68
208,0.68
209,0.68
210,0.68
211,0.68
212,0.68
213,0.68
214,0.68
215,0.68
216,0.68
217,0.68
218,0.68
219,0.68
220,0.68
221,0.68
222,0.68
223,0.68
224,0.68
225,0.68
226,0.68
227,0.68
228,0.68
229,0.68
230,0.68
231,0.68
232,0.68
233,0.68
234,0.68
235,0.68
236,0.68
237,0.68
238,0.68
239,0.68
240,0.68
241,0.68
242,0.68
243,0.68
244,0.68
245,0.68
246,0.68
247,0.68
248,0.68
249,0.68
250,0.68
251,0.68
252,0.68
253,0.68
254,0.68
255,0.68
256,0.68
257,0.68
258,0.68
259,0.68
260,0.68
261,0.68
262,0.68
263,0.68
264,0.68
265,0.68
266,0.68
267,0.68
268,0.68
269,0.68
270,0.68
271,0.68
272,0.68
273,0.68
274,0.68
275,0.68
276,0.68
277,0.68
278,0.68
279,0.68
280,0.68
281,0.68
282,0.68
283,0.68
284,0.68
285,0.68
286,0.68
287,0.68
288,0.68
289,0.68
290,0.68
291,0.68
292,0.68
293,0.68
294,0.68
295,0.68
296,0.68
297,0.68
298,0.68
299,0.68
300,0.68
301,0.68
302,0.68
303,0.68
304,0.68
305,0.66
306,0.66
307,0.66
308,0.66
309,0.66
310,0.66
311,0.66
312,0.66
313,0.66
314,0.66
315,0.66
316,0.66
317,0.66
318,0.66
319,0.66
320,0.66
321,0.66
322,0.66
323,0.66
324,0.66
325,0.66
326,0.66
327,0.66
328,0.66
329,0.66
330,0.66
331,0.66
332,0.66
333,0.66
334,0.66
335,0.66
336,0.66
337,0.66
338,0.66
339,0.66
340,0.66
341,0.66
342,0.66
343,0.66
344,0.66
345,0.66
346,0.66
347,0.66
348,0.66
349,0.66
350,0.66
351,0.66
352,0.66
353,0.66
354,0.66
355,0.66
356,0.66
357,0.66
358,0.66
359,0.66
360,0.66
361,0.66
362,0.66
363,0.66
364,0.66
365,0.66
366,0.66
367,0.66
368,0.66
369,0.66
370,0.66
371,0.66
372,0.66
373,0.66
374,0.66
375,0.66
376,0.66
377,0.66
378,0.66
379,0.66
380,0.66
381,0.66
382,0.66
383,0.66
384,0.66
385,0.66
386,0.66
387,0.66
388,0.66
389,0.66
390,0.66
391,0.66
392,0.66
393,0.66
394,0.66
395,0.66
396,0.66
397,0.66
398,0.66
399,0.66
400,0.66
401,0.66
402,0.66
403,0.66
404,0.66
405,0.66
406,0.66
407,0.66
408,0.66
409,0.66
410,0.66
411,0.66
412,0.66
413,0.66
414,0.66
415,0.66
416,0.66
417,0.66
418,0.66
419,0.66
420,0.66
421,0.66
422,0.66
423,0.66
424,0.64
425,0.64
426,0.64
427,0.64
428,0.64
429,0.64
430,0.64
431,0.64
432,0.64
433,0.64
434,0.64
435,0.64
436,0.64
437,0.64
438,0.64
439,0.64
440,0.64
441,0.64
442,0.64
443,0.64
444,0.64
445,0.64
446,0.64
447,0.64
448,0.64
449,0.64
450,0.64
451,0.64
452,0.64
453,0.64
454,0.64
455,0.64
456,0.64
457,0.64
458,0.64
459,0.64
460,0.64
461,0.64
462,0.64
463,0.64
464,0.64
465,0.64
466,0.64
467,0.64
468,0.64
469,0.64
470,0.64
471,0.64
472,0.64
473,0.64
474,0.64
475,0.64
476,0.64
477,0.64
478,0.64
479,0.64
480,0.64
481,0.64
482,0.64
483,0.64
484,0.64
485,0.64
486,0.64
487,0.64
488,0.64
489,0.64
490,0.64
491,0.64
492,0.64
493,0.64
494,0.64
495,0.64
496,0.64
497,0.64
498,0.64
499,0.64
500,0.64
501,0.64
502,0.64
503,0.64
504,0.64
505,0.64
506,0.64
507,0.64
508,0.64
509,0.64
510,0.64
511,0.64
512,0.64
513,0.64
514,0.64
515,0.64
516,0.64
517,0.64
518,0.64
519,0.64
520,0.64
521,0.64
522,0.64
523,0.64
524,0.64
525,0.64
526,0.64
527,0.64
528,0.64
529,0.64
530,0.64
531,0.64
532,0.64
533,0.64
534,0.64
535,0.64
536,0.64
537,0.64
538,0.64
539,0.64
540,0.64
541,0.64
542,0.62
543,0.62
544,0.62
545,0.62
546,0.62
547,0.62
548,0.62
549,0.62
550,0.62
551,0.62
552,0.62
553,0.62
554,0.62
555,0.62
556,0.62
557,0.62
558,0.62
559,0.62
560,0.62
561,0.62
562,0.62
563,0.62
564,0.62
565,0.62
566,0.62
567,0.62
568,0.62
569,0.62
570,0.62
571,0.62
572,0.62
573,0.62
574,0.62
575,0.62
576,0.62
577,0.62
578,0.62
579,0.62
580,0.62
581,0.62
582,0.62
583,0.62
584,0.62
585,0.62
586,0.62
587,0.62
588,0.62
589,0.62
590,0.62
591,0.62
592,0.62
593,0.62
594,0.62
595,0.62
596,0.62
597,0.62
598,0.62
599,0.62
600,0.62
601,0.62
602,0.62
603,0.62
604,0.62
605,0.62
606,0.62
607,0.62
608,0.62
609,0.62
610,0.62
611,0.62
612,0.62
613,0.62
614,0.62
615,0.62
616,0.62
617,0.62
618,0.62
619,0.62
620,0.62
621,0.6
622,0.6
623,0.6
624,0.62
625,0.62
626,0.6
627,0.6
628,0.6
629,0.6
630,0.6
631,0.6
632,0.6
633,0.6
634,0.6
635,0.6
636,0.6
637,0.6
638,0.6
639,0.6
640,0.6
641,0.6
642,0.6
643,0.6
644,0.6
645,0.6
646,0.6
647,0.6
648,0.6
649,0.6
650,0.6
651,0.6
652,0.6
653,0.6
654,0.6
655,0.6
656,0.6
657,0.6
658,0.6
659,0.6
660,0.6
661,0.6
662,0.6
663,0.6
664,0.6
665,0.6
666,0.6
667,0.6
668,0.6
669,0.6
670,0.6
671,0.6
672,0.6
673,0.6
674,0.6
675,0.6
676,0.6
677,0.6
678,0.6
679,0.6
680,0.6
681,0.6
682,0.6
683,0.6
684,0.6
685,0.6
686,0.6
687,0.6
688,0.6
689,0.6
690,0.6
691,0.6
692,0.6
693,0.6
694,0.6
695,0.6
696,0.6
697,0.6
698,0.6
699,0.6
700,0.6
701,0.6
702,0.6
703,0.6
704,0.6
705,0.6
706,0.6
707,0.6
708,0.6
709,0.6
710,0.6
711,0.6
712,0.6
713,0.6
714,0.6
715,0.6
716,0.6
717,0.6
718,0.6
719,0.6
720,0.6
721,0.6
722,0.6
723,0.6
724,0.6
725,0.6
726,0.6
727,0.6
728,0.6
729,0.6
730,0.6
731,0.6
732,0.6
733,0.6
734,0.6
735,0.6
736,0.6
737,0.6
738,0.6
739,0.6
740,0.6
741,0.6
742,0.6
743,0.6
744,0.6
745,0.6
746,0.6
747,0.6
748,0.6
749,0.6
750,0.6
751,0.6
752,0.6
753,0.6
754,0.6
755,0.6
756,0.6
757,0.6
758,0.6
759,0.6
760,0.6
761,0.6
762,0.6
763,0.6
764,0.6
765,0.6
766,0.6
767,0.6
768,0.6
769,0.6
770,0.6
771,0.6
772,0.6
773,0.6
774,0.6
775,0.6
776,0.6
777,0.6
778,0.6
779,0.6
780,0.6
781,0.6
782,0.6
783,0.6
784,0.6
785,0.6
786,0.6
787,0.6
788,0.6
789,0.6
790,0.6
791,0.6
792,0.6
793,0.6
794,0.6
795,0.6
796,0.6
797,0.6
798,0.6
799,0.6
800,0.6
801,0.6
802,0.6
803,0.6
804,0.6
805,0.6
806,0.6
807,0.6
808,0.6
809,0.6
810,0.6
811,0.6
812,0.6
813,0.6
814,0.6
815,0.6
816,0.6
817,0.6
818,0.6
819,0.6
820,0.6
821,0.6
822,0.6
823,0.6
824,0.6
825,0.6
826,0.6
827,0.6
828,0.6
829,0.6
830,0.6
831,0.6
832,0.6
833,0.6
834,0.6
835,0.6
836,0.6
837,0.6
838,0.6
839,0.6
840,0.6
841,0.6
842,0.6
843,0.6
844,0.6
845,0.6
846,0.6
847,0.6
848,0.6
849,0.6
850,0.6
851,0.6
852,0.6
853,0.6
854,0.6
855,0.6
856,0.6
857,0.6
858,0.6
859,0.6
860,0.6
861,0.6
862,0.6
863,0.6
864,0.6
865,0.6
866,0.6
867,0.6
868,0.6
869,0.6
870,0.6
871,0.6
872,0.6
873,0.6
874,0.6
875,0.6
876,0.6
877,0.6
878,0.6
879,0.6
880,0.6
881,0.6
882,0.6
883,0.6
884,0.6
885,0.6
886,0.6
887,0.6
888,0.6
889,0.6
890,0.6
891,0.6
892,0.6
893,0.6
894,0.6
895,0.6
896,0.6
897,0.58
898,0.58
899,0.58
900,0.58
901,0.58
902,0.58
903,0.58
904,0.58
905,0.58
906,0.58
907,0.58
908,0.58
909,0.58
910,0.58
911,0.58
912,0.58
913,0.58
914,0.58
915,0.58
916,0.58
917,0.58
918,0.58
919,0.58
920,0.58
921,0.58
922,0.58
923,0.58
924,0.58
925,0.58
926,0.58
927,0.58
928,0.58
929,0.58
930,0.58
931,0.58
932,0.58
933,0.58
934,0.58
935,0.58
936,0.58
937,0.58
938,0.58
939,0.58
940,0.58
941,0.58
942,0.58
943,0.58
944,0.58
945,0.58
946,0.58
947,0.58
948,0.58
949,0.58
950,0.58
951,0.58
952,0.58
953,0.58
954,0.58
955,0.58
956,0.58
957,0.58
958,0.58
959,0.58
960,0.58
961,0.58
962,0.58
963,0.58
964,0.58
965,0.58
966,0.58
967,0.58
968,0.58
969,0.58
970,0.58
971,0.58
972,0.58
973,0.58
974,0.58
975,0.58
976,0.58
977,0.58
978,0.58
979,0.58
980,0.58
981,0.58
982,0.56
983,0.56
984,0.56
985,0.56
986,0.56
987,0.56
988,0.56
989,0.56
990,0.56
991,0.56
992,0.56
993,0.56
994,0.56
995,0.56
996,0.56
997,0.56
998,0.56
999,0.56
1000,0.56
